,business_id,positive words,negative words
216,fuQpzuHPLt8pnJ49j74qCQ,,"salsa,rice,shrimp"
217,78hGCrQ6wLA2yh8zMywnmw,beer,"time,taco,chicken,pork"
218,OFacUbdk0t-GJ83GQ83LOw,"chipotle,lunch,burrito,steak,salad","taco,service,wait"
219,mrjhrTycW0iLumjMZCfrzw,,"time,staff,service"
220,jxFYZlq8r_iNv4FWp4_nhQ,,time
221,iXnHrmTw-r6LNzC2MjjrWQ,,"taco,service,pork"
222,U-gBybV1KIqfRIzkWXzK-w,"lunch,patio","chips,taco,time"
223,8EIZAb0knT2u_z2gIxllXw,"steak,asada,fries","quesadilla,staff,service,burrito,tortilla,chile"
224,r76Jr-MchYOobglY6TguzQ,taco,"time,service,lunch,pork"
225,cbbidA4huw2XQQWlmbUQgw,"lunch,time,atmosphere","chips,service"
226,zWrwVNAvrtVAhcDRWJJMEw,,staff
227,ibOX3CypYVz0nJhCN5Wmcw,"breakfast,lunch,salsa","guacamole,service,burrito"
228,9cflYye_S2xNeb3C0mG3ng,,"service,time,rice,table,shrimp"
229,mES9E5K4HbYoPFXGv0pUuw,"chicken,staff,service","fish,lunch,time,salad,taco,beef"
230,5WOE18ldtQ1U0MK5fN2HGQ,"staff,fish,wait,time,taco","chips,service,lunch"
231,nEQFnHydeX2A3bRRDAKqQg,patio,"chips,service,lunch,atmosphere"
232,VH2BjFjc9usDquDgoHhptA,dinner,"lunch,service,noisy"
233,pJdPcHkqtaLF47pS0LxdYQ,"salsa,lunch,dinner,time","service,meat,waitress,steak,taco"
234,jpKL9pSAXStao15pXvsxcA,"lunch,burrito","tortilla,chicken,margarita,waiter"
235,CLthP1yn32xlBswIbsLIjQ,"time,asada,taco,salsa,manager","chicken,meat,lunch"
236,GRs6OxKZREAwA_Nmp2GmVw,"price,burrito","asada,beef"
237,KGqvUQQA4c9GJpi5-znsew,"chips,salsa,lunch","breakfast,time,service,burrito"
238,dT2zkQTpGJU1RP_eH4mKfA,,
239,nIskoP3-_MttghA3d-eYBA,"taco,fish","service,meat,lunch,price,shrimp"
240,V5K2K2U0JaBL5UPaZYJkSQ,"lunch,beer","service,time,burrito,taco,salsa"
241,xqpjZakCEWarm9jfzoYfWQ,,"vegan,taco"
242,orjSfu6Gcv2SQlXVsXdVBg,"salad,chicken,taco,wait","meat,time,lunch,steak,chips,guacamole,enchilada"
243,XRtelzecxvhGtG4h7Xdxsw,,"asada,meat,beef"
244,7pkiQvVfcsa-wtBEeNHHUg,"chicken,rice","staff,service,time,lunch,burrito,manager"
245,Ls1NqcogI-szYoQ7tLh4Og,"service,price",
246,ujfIrNpNM9D020nPL4znRQ,"fries,time,asada,burrito,chicken","taco,service,line,wait"
247,ti1bb30WwnkDLuVvpTM6fQ,"fish,shrimp","service,time,noisy,dinner,price"
248,TOrphxql7UfJ77vXG4G4aQ,,service
249,pGwfOqNEL8FbMUFspJdAMA,"guacamole,taco,margarita","dinner,service"
250,-Ut87cwGFsO3444Rd11p0Q,"fries,time,lunch,asada,breakfast,taco","chicken,service"
251,SVGApDPNdpFlEjwRQThCxA,"lunch,waiter","time,staff,service"
252,w34pLtetsY3TkkPJQdLOVg,"chips,salsa",
253,Kx0MUrNQ737s-VVElk6Vig,"breakfast,staff,service,wait,lunch",
254,n-y6kw55Tn-5Get2TkWgeA,,"taco,service,shrimp"
255,r8Jr-7YfkhJL2nxk9lxUNg,"lunch,chicken,rice,dinner","salsa,time,margarita,service"
256,o7alpkgY_6m8WvJBdaJDfg,,"service,burrito,steak"
257,ibf4xvHWD4t1DOOZhidHBg,,"fish,service"
258,e01WELWR6ODCder7onrIlA,,"taco,asada,service,burrito"
